Draft_Yr,Pk,Tm,Player,College,seasons,Field_Goal_Percentage ,3points_Field_Goal_Percentage ,Free_Throw_Percentage,Minutes_Played_Per_Game,Points_Per_Game ,Total_Rebounds_per_Game ,Assist_Per_Game ,WS,WS/48,BPM,VORP
1969,1,MIL,Kareem Abdul-Jabbar,"University of California, Los Angeles",20,0.559,0.056,0.721,36.8,24.6,11.2,3.6,273.4,0.228,5.8,86
1969,2,PHO,Neal Walk,University of Florida,8,0.459,,0.758,24.4,12.6,7.7,2.1,30.3,0.105,0.8,3.7
1969,3,SEA,Lucius Allen,"University of California, Los Angeles",10,0.463,,0.76,28.7,13.4,3.1,4.5,42,0.1,0.5,7.6
1969,4,DET,Terry Driscoll,Boston College,4,0.425,,0.69,13.4,4.2,4.2,0.8,5,0.074,-1.4,0.1
1969,6,SDR,Bingo Smith,University of Tulsa,11,0.449,0.284,0.798,25.9,12.6,4.2,2,33.3,0.071,-1.6,1.5
1969,7,SFW,Bob Portman,Creighton University,4,0.443,,0.78,13.3,5.7,3.3,0.6,4.4,0.071,,
1969,8,CIN,Herm Gilliam,Purdue University,8,0.441,,0.792,26,10.8,3.8,3.8,20.8,0.066,-0.7,2.2
1969,9,BOS,Jo Jo White,University of Kansas,12,0.444,0.167,0.834,35.8,17.2,4,4.9,54,0.087,-0.6,6.9
1969,10,ATL,Butch Beard,University of Louisville,9,0.487,,0.771,23.6,9.3,3.4,3.6,32.8,0.11,1.6,8.8
1969,11,NYK,John Warren,St. John's University,5,0.43,,0.827,16.3,6,2.3,1.9,4.3,0.042,-3.5,-0.3
1969,12,LAL,Willie McCarter,Drake University,3,0.402,,0.656,18.3,7,1.6,2,-1,-0.018,,
1969,13,PHI,Bud Ogden,Santa Clara University,2,0.445,,0.692,6.6,3.5,1.4,0.6,0.7,0.072,,
1969,14,BAL,Mike Davis,Virginia Union University,3,0.424,,0.772,21.1,10.7,2.3,1.8,4.8,0.054,,
1969,15,LAL,Rick Roberson,University of Cincinnati,7,0.44,,0.585,24.5,9,8.3,1.4,14.6,0.068,-1.9,0.1
1969,17,MIL,Bob Greacen,Rutgers University,2,0.372,,0.6,7.8,2.6,1.5,0.9,-0.1,-0.015,,
1969,19,DET,Willie Norwood,Alcorn State University,7,0.488,,0.697,17.1,7.5,3.7,0.8,17.6,0.115,-0.8,1.5
1969,21,SDR,Bernie Williams,La Salle University,2,0.371,,0.808,15.1,7,1.9,2.2,-0.2,-0.005,,
1969,23,CHI,Johnny Baum,Temple University,2,0.414,,0.69,8.6,4.5,2,0.5,0.3,0.026,,
1969,25,ATL,Wally Anderzunas,Creighton University,1,0.392,,0.63,8.4,3.6,1.9,0.2,-0.2,-0.023,,
1969,27,LAL,Dick Garrett,Southern Illinois University,5,0.423,,0.863,25.7,10.3,3,2.5,6,0.033,-7.3,-0.4
1969,32,SEA,Lee Winfield,University of North Texas,7,0.474,,0.668,18.3,7.3,2.1,2.5,12.1,0.079,-2.6,-0.3
1969,33,PHO,Lamar Green,Morehead State University,5,0.43,,0.65,17.9,5.2,6.4,0.7,6.9,0.052,-5.8,-1.3
1969,34,CHI,Norm Van Lier,Saint Francis University,10,0.414,,0.78,35.1,11.8,4.8,7,47.8,0.088,1.4,12.6
1969,37,CIN,Luther Rackley,Xavier University,4,0.451,,0.626,15.6,6,4.5,0.6,4.7,0.065,-9.3,-0.1
1969,40,NYK,Eddie Mast,Temple University,3,0.385,,0.604,7.9,2.5,2.4,0.5,0.4,0.019,,
1969,41,CIN,Luther Green,Long Island University,1,0,,0.333,6.4,0.6,0.6,0,-0.3,-0.444,,
1969,43,BAL,Fred Carter,Mount St. Mary's University,8,0.425,,0.693,30,15.2,3.9,3.5,14.8,0.039,-1,2.6
1969,45,MIL,Bob Dandridge,Norfolk State University,13,0.484,0.167,0.78,35.2,18.5,6.8,3.4,80.3,0.131,1.8,17.8
1969,52,BOS,Steve Kuberski,Bradley University,9,0.417,,0.767,13.9,5.5,3.8,0.6,11.4,0.069,-4.4,-2.1
1969,56,PHI,Dave Scholz,University of Illinois at Urbana-Champaign,1,1,,,1,2,0,0,0,1.316,,
1969,58,PHO,Rich Jones,University of Memphis,1,0.385,,0.76,25.8,10.6,5.7,1.4,0.6,0.033,-3.5,-0.3
1969,61,DET,Steve Mix,University of Toledo,12,0.498,0.286,0.803,23.9,10.6,5.3,1.8,57.6,0.147,1.8,16.9
1969,64,SFW,Willie Wise,Drake University,2,0.459,,0.644,18.4,8,3.3,1.8,2.5,0.085,-1.4,0.2
1969,65,CIN,Jake Ford,University of Maryland Eastern Shore,2,0.462,,0.764,8,4.1,0.6,1.1,0.7,0.133,,
1969,66,BOS,George Thompson,Marquette University,1,0.443,,0.785,27.2,10.7,2.5,3.1,2.7,0.064,-1.9,0.1
1969,69,LAL,Wil Jones,Albany State University,2,0.433,,0.731,27.8,9.9,5.9,1.9,4.6,0.05,-1.3,0.8
1969,73,MIL,John Arthurs,Tulane University,1,0.343,,0.733,7.8,3.2,1.3,1.5,0,-0.004,,
1969,103,DET,Bob Arnzen,University of Notre Dame,1,0.462,,0.865,10.8,5.5,2.8,0.4,1,0.082,,
1969,109,ATL,Bob Christian,Grambling State University,4,0.486,,0.704,12.2,3.8,4.1,0.8,5.7,0.091,-2.3,-0.1
1969,117,DET,George Reynolds,University of Houston,1,0.421,,0.714,4.4,2.1,1.4,1.2,0.1,0.055,,
1969,147,SDR,Justus Thigpen,Weber State University,2,0.4,,,5.3,2.5,0.5,0.4,-0.1,-0.061,-27.8,0
1969,167,PHI,Fatty Taylor,La Salle University,1,0.42,,0.569,19.6,3.8,2.7,3.6,2.1,0.066,0.3,0.9
1969,187,LAL,Mack Calvin,University of Southern California,4,0.42,0.125,0.848,15,7,1.2,2.5,5.9,0.086,-3.5,-1.2
1969,214,ATL,Grady O'Malley,Manhattan College,1,0.35,,0.421,4.7,2.1,1.1,0.4,-0.3,-0.136,,
1969,215,BAL,Brian Heaney,Acadia University,1,0.542,,0.5,5,2,0.3,0.4,0.2,0.106,,
1970,1,DET,Bob Lanier,St. Bonaventure University,14,0.514,0.154,0.767,33.5,20.1,10.1,3.1,117.1,0.175,5,41.9
1970,2,SDR,Rudy Tomjanovich,University of Michigan,11,0.501,0.262,0.784,33.5,17.4,8.1,2,70.4,0.131,0.7,12.8
1970,3,ATL,Pete Maravich,Louisiana State University,10,0.441,0.667,0.82,37,24.2,4.2,5.4,46.7,0.092,0.8,11.4
